real_data,synth,utterance,CER,WER
0.25,1,378,0.18309859154929578,0.47058823529411764
0.25,1,379,0.15,0.4666666666666667
0.25,1,380,0.18867924528301888,0.5
0.25,1,381,0.13157894736842105,0.3333333333333333
0.25,1,382,0.2,0.5
0.25,1,383,0.10810810810810811,0.25
0.25,1,384,0.25,0.75
0.25,1,385,0.18181818181818182,0.6
0.25,1,386,0.16666666666666666,0.5
0.25,1,387,0.058823529411764705,0.125
0.25,1,388,0.208955223880597,0.5714285714285714
0.25,1,389,0.07317073170731707,0.375
0.25,1,390,0.12380952380952381,0.45454545454545453
0.25,1,391,0.32,0.8
0.25,1,392,0.19078947368421054,0.5714285714285714
0.25,1,393,0.36666666666666664,1.5
0.25,1,394,0.5517241379310345,1.0
0.25,1,395,0.25925925925925924,0.6666666666666666
0.25,1,396,0.1875,0.45454545454545453
0.25,1,397,0.025,0.11764705882352941
0.25,1,398,0.19117647058823528,0.5333333333333333
0.25,1,399,0.10344827586206896,0.2777777777777778
0.25,1,400,0.27586206896551724,0.6666666666666666
0.25,1,401,0.05555555555555555,0.125
0.25,1,402,0.12,0.5555555555555556
0.25,1,403,0.22727272727272727,0.6666666666666666
0.25,1,404,0.1926605504587156,0.5238095238095238
0.25,1,405,0.23809523809523808,1.0
0.25,1,406,0.19444444444444445,0.5
0.25,1,407,0.13953488372093023,0.625
0.25,1,408,0.18181818181818182,0.625
0.25,1,409,0.1864406779661017,0.36363636363636365
0.25,1,410,0.12,0.4
0.25,1,411,0.19375,0.4827586206896552
0.25,1,412,0.10526315789473684,0.5
0.25,1,413,0.0,0.0
0.25,1,414,0.16666666666666666,0.7142857142857143
0.25,1,415,0.25,0.5
0.25,1,416,0.10526315789473684,0.5
0.25,1,417,0.12698412698412698,0.36363636363636365
0.25,1,418,0.14814814814814814,0.8
0.25,1,419,0.06306306306306306,0.22727272727272727
0.25,1,420,0.13333333333333333,0.5
0.25,1,421,0.32038834951456313,0.95
0.25,1,422,0.18055555555555555,0.6
0.25,1,423,0.2391304347826087,0.7777777777777778
0.25,1,424,0.17073170731707318,0.4444444444444444
0.25,1,425,0.4,1.1666666666666667
0.25,1,426,0.1794871794871795,0.5714285714285714
0.25,1,427,0.125,0.23529411764705882
0.25,1,428,0.10101010101010101,0.5
0.25,1,429,0.08391608391608392,0.26666666666666666
0.25,1,430,0.0625,0.1875
0.25,1,431,0.10714285714285714,0.2857142857142857
0.25,1,432,0.08333333333333333,0.4
0.25,1,433,0.1,0.46153846153846156
0.25,1,434,0.30303030303030304,0.8333333333333334
0.25,1,435,0.18446601941747573,0.631578947368421
0.25,1,436,0.1111111111111111,0.35135135135135137
0.25,1,437,0.1111111111111111,0.30434782608695654
0.25,1,438,0.13513513513513514,0.375
0.25,1,439,0.2185430463576159,0.6785714285714286
0.25,1,440,0.24666666666666667,0.5806451612903226
0.25,1,441,0.2328767123287671,0.5
0.25,1,442,0.39473684210526316,0.7142857142857143
0.25,1,443,0.05263157894736842,0.3333333333333333
0.25,1,444,0.4090909090909091,0.7777777777777778
0.25,1,445,0.10714285714285714,0.4
0.25,1,446,0.29213483146067415,0.9333333333333333
0.25,1,447,0.23333333333333334,0.6666666666666666
0.25,1,448,0.32926829268292684,0.65
0.25,1,449,0.15,0.5
0.25,1,450,0.18548387096774194,0.5909090909090909
0.25,1,451,0.32978723404255317,0.6875
0.25,1,452,0.1678832116788321,0.48148148148148145
0.25,1,453,0.6923076923076923,1.0
0.25,1,454,0.2727272727272727,0.7272727272727273
0.25,1,455,0.26,0.8125
0.25,1,456,0.23255813953488372,0.47368421052631576
